University_Name_CN,University_Name_EN,University_Name_Local,City,URL,University_Abbr,University_Other_Name,Description_CN,Description_EN,Unit_CN,Unit_EN,Lon,Lat
香港中文大学,The Chinese University of Hong Kong ,,Hong Kong,http://www.iseis.cuhk.edu.hk/en/,CUHK,,"地理与资源管理学系是亚洲地理教育研究前沿的地理系之一。地理系的教学和研究围绕四个领域进行，即城市和区域发展、自然和环境系统、地理信息和分析、全球变化和资源管理。地理系内的三位教授分别在环境、能源与可持续发展研究所、未来城市研究所和太空与地球信息科学研究所担任主任。学生可以申请本科和研究生学习，获得地理与资源管理（GRM）的BSSc、MPhil和博士学位（4年）、地理信息科学硕士（Master of Science in Geoinformation Science）和可持续旅游硕士（Master of Social Science in Sustainable Tourism）。

太空与地球信息科学研究所是在中国科学院和香港中文大学的地球信息科学联合实验室（JLGIS）的基础上成立的。研究所设有中高分辨率卫星遥感地面接收站，为学生开展遥感、GIS等研究提供了独特的机会。主要研究领域包括云和多雨地区遥感（CARS）、虚拟地理环境（VGE）、应急响应和自然灾害监测和管理、城市和都市地理信息系统、城市住区环境分析和建模、公共卫生和地理信息系统，智能交通系统（ITS）与空间整合的人文社会科学。研究所下设地球系统与地球信息科学研究生部，提供“環境信息、健康與公共管理”方向的硕士课程（Master of Science in Environmental Information, Health and Public Management (FT & PT)）和“地球系统和地理信息科学”方向的研究型硕士/博士学位的课程(MPhil-PhD Programme in Earth System and GeoInformation Science (Full Time & Part Time))。如有内地的硕士学位，博士学制为3年，否则为4年。","Department of Geography and Resource Management (GRM) at The Chinese University of Hong Kong is one of the top geography departments at the forefront of geography education and research in Asia. We offer a wide range of programmes from bachelor to doctorate levels and have trained high calibre graduates contributing to society. Our departmental staff members also serve as directors of three research institutes in the University, namely the Institute of Environment, Energy and Sustainability, Institute of Future Cities, and Institute of Space and Earth Information Science.
The Department of Geography has fostered an active postgraduate research programme at both the MPhil and PhD levels. There are currently over 20 MPhil and PhD candidates undertaking research in a variety of fields that reflects the broad range of interests and skills of staff members and the facilities of the Department. In addition, over 50 students are studying in the Taught Master's Programmes.

[M.Phil.-Ph.D. in GRM (Master of Philosophy Stream)]( https://www.grm.cuhk.edu.hk/eng/prog/postgrad/_mphil.html)
[M.Phil.-Ph.D. in GRM (Doctor of Philosophy Stream)]( https://www.grm.cuhk.edu.hk/eng/prog/postgrad/_phd.html)
[Master of Science in Geoinformation Science and Smart Cities]( http://mscgis.grm.cuhk.edu.hk/)
[Master of Social Science in Sustainable Tourism](http://mssst.grm.cuhk.edu.hk/)

Institute of Space and Earth Information Science (ISEIS) was established in 2005. It was developed on the base of the Joint Laboratory for GeoInformation Science (JLGIS) of Chinese Academy of Sciences & The Chinese University of Hong Kong. ISEIS consists of three major units: research, education and training, and technology development.

[Master of Science in Environmental Information, Health and Public Management(Full Time & Part Time)](http://www.iseis.cuhk.edu.hk/en/msgpm.html)
[MPhil-PhD Programme in Earth System and GeoInformation Science (Full Time & Part Time)]( http://www.iseis.cuhk.edu.hk/en/phd.html)",太空与地球信息科学研究所,Institute of Space and Earth Information Science (ISEIS),114.19,22.277
香港理工大学,The Hong Kong Polytechnic University ,,Hong Kong,http://www.lsgi.polyu.edu.hk/,PolyU,,香港理工大学土地测量与地理资讯学系是国际知名的地球空间信息科学学系之一，多年来致力于测绘、遥感、摄影测量、GIS、数字制图、城市信息科学等方面研究。目前LSGI开设有两个授课型MSc Program，开设较早的Master of Science in geomatics和20fall刚开设的Master of Science in urban informatics and smart cities，学制1-2年。研究型项目有PhD与Mphil可申请，本科毕业直博一般为四年，硕士毕业申请为三年。系里Mphil名额很少，research student一般为博士生。,"The Department of Land Surveying and Geo-Informatics of the Hong Kong Polytechnic University is one of the world-renowned geospatial information science departments. For many years, it has devoted itself to research in surveying and mapping, remote sensing, photogrammetry, GIS, digital mapping, and urban information science. LSGI offers two MSc Programs，[Master of Science in geomatics](http://www.lsgi.polyu.edu.hk/prospective-students/degrees-and-qualifications/master-of-science-in-geomatics/index.asp) which operates for years, and [Master of Science in urban informatics and smart cities](http://www.lsgi.polyu.edu.hk/prospective-students/degrees-and-qualifications/master-of-science-in-urban-informatics/index.asp) which just operates since 20fall. These two are 1-2 years program. [PhD and Mphil](http://www.lsgi.polyu.edu.hk/prospective-students/degrees-and-qualifications/doctor-and-master-of-philosophy/index.asp) are also applicable. It usually takes four years for applicants with a bachelor's degree, and three years for applicant with a master’s degree. There are few MPhil places in the department, and research students are generally doctoral students.",土地测量与地理信息系,Department of Land Surveying and Geo-informatics (LSGI),114.18,22.305
旁遮普大学（印度）,Panjab University,,Chandigarh,https://geography.puchd.ac.in/,PU,,旁遮普大学地理系开设了地理信息系统硕士课程以及地理信息学和遥感研究生文凭课程。,The geography department at Panjab University offers a MSc in GIS program as well as several Graduate Diploma programs in geoinformatics and remote sensing.,地理系,Department of Geography,76.767,30.759
孟买理工学院,Indian Institute of Technology Bombay,,Mumbai,https://www.civil.iitb.ac.in/,IITB,,印度理工学院孟买分校土木工程系提供遥感硕士学位。专业包括:全球定位系统;地理信息系统，空间大地测量;遥感;测量;流域径流模拟;优化配水系统。资源工程研究中心还开设gis相关的MTech和博士课程。,"The IIT-Bombay offers a master's degree in remote sensing under its civil engineering department. The specializations include: Global positioning system; Geographic information system, Space geodesy; Remote sensing; Surveying; Runoff modelling of watersheds; Optimization of water distribution systems. The Centre of Studies in Resources Engineering also operates GIS-related MTech and PhD programs.",土木工程系,Department of Civil Engineering,72.914,19.133
孟买理工学院,Indian Institute of Technology Bombay,,Mumbai,http://www.csre.iitb.ac.in/,IITB,,印度理工学院孟买分校土木工程系提供遥感硕士学位。专业包括:全球定位系统;地理信息系统，空间大地测量;遥感;测量;流域径流模拟;优化配水系统。资源工程研究中心还开设gis相关的MTech和博士课程。,"The IIT-Bombay offers a master's degree in remote sensing under its civil engineering department. The specializations include: Global positioning system; Geographic information system, Space geodesy; Remote sensing; Surveying; Runoff modelling of watersheds; Optimization of water distribution systems. The Centre of Studies in Resources Engineering also operates GIS-related MTech and PhD programs.",资源工程研究中心,Centre of Studies in Resources Engineering,72.914,19.133
卡哈拉格普尔理工学院,Indian Institute of Technology Kharagpur,,Kharagpur,,IIT-KGP,,印度理工学院kharagpur没有特定于GIS的研究生项目，但许多其他硕士项目与地理信息学相关或需要密集的GIS/RS培训，如地球系统科学(https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=CL)，城市规划(https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=AR)，环境工程(https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=CE3)、勘探地球科学(https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=GG1)、水资源管理(https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=WM)。,"The IIT-Kharagpur does not have a GIS-specific postgraduate program, but many other master's programs are related to geoinformatics or requiring intensive GIS/RS trainings, such as the [Earth System Science](https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=CL), [City Planning](https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=AR), [Environmental Engineering](https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=CE3), [Exploration Geoscience](https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=GG1), and [Water Resource Management](https://erp.iitkgp.ac.in/ERPWebServices/curricula/CurriculaSubjectsList.jsp?stuType=PG&splCode=WM).",,,87.309,22.315
萨维特里巴伊·菲勒浦那大学,Savitribai Phule Pune University,,Pune,http://www.unipune.ac.in/dept/science/geography/default.htm,SPPU,,Savitribai Phule Pune大学在其地理学系下开设了2年的地理信息学硕士课程和1年的GIS和遥感研究生文凭课程。,"The Savitribai Phule Pune University offers a 2-year MSc in Geoinformatics and a 1-year Graduate Diploma program in GIS and remote sensing, both under its Department of Geography.",地理系,Department of Geography,73.825,18.552
印度遥感研究所,Indian Institute of Remote Sensing,,Dehradun,,IIRS,,印度遥感研究所(IIRS)是印度空间研究组织下属的一个政府拥有的机构。它与安得拉邦大学合作开设了一个[遥感技术硕士](https://www.iirs.gov.in/master-of-technology)项目，并与特温特大学的ITC合作开设了一个[地球信息与地球观测科学硕士](https://www.iirs.gov.in/master-of-science)项目。,"The Indian Institute of Remote Sensing (IIRS) is a government-owned institution under the Indian Space Research Organization. It operates a [Master of Tech in Remote Sensing](https://www.iirs.gov.in/master-of-technology) program in collaboration with Andhra University, and a [Master of Science in Geoinformation and Earth Observation](https://www.iirs.gov.in/master-of-science) program in collaboration with ITC at University of Twente.",,,78.044,30.341
万隆工学院,Bandung Institute of Technology,,Bandung,https://english.fitb.itb.ac.id/,BIT,,万隆工学院开设了“大地测量与测绘工程硕士学位课程”(https://english.fitb.itb.ac.id/magister-teknik-geodesi-geomatika/)，包括大地测量学、水文与沿海工程、土地管理和测绘学4个专业。拥有大地测量与测绘工程博士学位(https://english.fitb.itb.ac.id/doktor-teknik-geodesi-geomatika/)项目。,"The Bandung Institute of Technology operates a [Geodetic and Geomatics Engineering Masters Program](https://english.fitb.itb.ac.id/magister-teknik-geodesi-geomatika/) with 4 options of concentrations: geodesy, hydrography and coastal area engineering, land administration, and geomatics. It also has a [PhD in Geodesy and Geomatic Engineering](https://english.fitb.itb.ac.id/doktor-teknik-geodesi-geomatika/) program.",地球科学学院,Faculty of Earth Sciences,107.61,-6.891
印度尼西亚泗水理工学院,Institut Teknologi Sepuluh Nopember,,Surabaya,,ITS,,ITS学校下设土木技术与规划学院(https://www.its.ac.id/pascasarjana/en/study-program/geomatics-engineering/)地球物理与地球物理工程专业硕士学位授权点。,The ITS offers [master's programs](https://www.its.ac.id/pascasarjana/en/study-program/geomatics-engineering/) in geomatic engineering and geophysical engineering under its Faculty of Civil Technology and Planning.,土木科技与规划学院,Faculty of Civil Technology and Planning,112.795,-7.282
图西理工大学,K. N. Toosi University of Technology,,Tehran,https://en.kntu.ac.ir/geomatics/,KNTU,,KNTU的大地测量系是伊朗最古老的地质工程系。它是20多名地理信息科学家的家园。它提供地理科学硕士和博士课程。这些项目的重点包括GIS、大地测量和遥感。此外，英国特温特大学与ITC联合开设了一个地理信息科学与地球观测m.s.(https://en.kntu.ac.ir/geomatics/jkip/)。,"The geodesy faculty at KNTU is the oldest faculty of geomatic engineering in Iran. It is home to more than 20 geoinformatics scientists. It offers MSc and PhD programs in geomatics. Focuses of these programs include GIS, geodesy, and remote sensing. There is also a [M.Sc. in Geoinformation Science & Earth Observation](https://en.kntu.ac.ir/geomatics/jkip/) jointly offered with ITC at University of Twente.", 大地测量与测绘工程,Geodesy and Geomatics Engineering,51.412,35.762
以色列理工学院,Technion - Israel Institute of Technology,הטכניון - מכון טכנולוגי לישראל,Haifa,https://cee.technion.ac.il/en/,Technion,,"Technion提供地图和地理信息的本科和研究生学位课程(https://cee.technion.ac.il/en/course/mapping-geo-information/)。提供的研究生学位包括:

-测绘与地理信息工程理学硕士

-测绘与地理信息工程工程硕士

- PhD -博士

Technion还提供城市和区域规划硕士学位(https://architecture.technion.ac.il/academic-programs/urban-and-regional-planning/master-of-urban-and-regional-planning/)，有论文和非论文选项。更多关于未来国际学生的信息可以在(https://cee.technion.ac.il/en/info-international/)找到。”","Technion offers undergraduate and graduate degree programs in [Mapping and Geo-Information](https://cee.technion.ac.il/en/course/mapping-geo-information/). Graduate degrees offered include:
- Master of Science in Mapping and Geo-Information Engineering
- Master of Engineering in Mapping and Geo-Information Engineering
- PhD – Doctor of Philosophy
Technion also offers the masters degree in [urban and regional planning](https://architecture.technion.ac.il/academic-programs/urban-and-regional-planning/master-of-urban-and-regional-planning/) with thesis and non-thesis options. More information for prospective international students can be found [here](https://cee.technion.ac.il/en/info-international/).",土木与环境工程,Civil & Environmental Engineering,35.023,32.776
希伯来大学,The Hebrew University of Jerusalem,8האוניברסיטה העברית בירושלים,Jerusalem,https://en.geography.huji.ac.il/,HUJ,,耶路撒冷希伯来大学(Hebrew University of Jerusalem)有一个面向国际学生的1年制英语授课文学硕士学位项目(https://smartcities.huji.ac.il/)，该项目为“智慧城市和城市信息学”(Smart Cities and Urban Informatics)。本课程面向社会科学专业的学生，他们希望利用空间分析的最先进技术来获得对当代城市发展的广泛理解。假设没有GIS、遥感或空间信息系统的先验知识。,"There is a 1-year English-taught master of arts degree program for international students in [Smart Cities and Urban Informatics](https://smartcities.huji.ac.il/) at the Hebrew University of Jerusalem. This program is for social science students who want to acquire a broad-based understanding of contemporary urban development utilizing state of the art techniques in spatial analysis. No prior knowledge of GIS, remote sensing or spatial information systems is assumed.",地理系,Department of Geography,35.241,31.794
特拉维夫大学,Tel Aviv University,אוניברסיטת תל אביב,Tel Aviv,https://en-exact-sciences.tau.ac.il/geography,TAU,,特拉维夫大学地理系的研究领域包括城市、环境和规划(https://en-exact-sciences.tau.ac.il/geography/research_fields_city_environment_planning)、地理信息学(https://en-exact-sciences.tau.ac.il/geography/research_fields_geoinformatics_remote_sensing)和气候和水资源(https://en-exact-sciences.tau.ac.il/geography/research_fields_climate_water)。本系提供学士、硕士和博士学位项目以及针对优秀学生的特别项目，让他们在我们的研究实验室中发挥积极作用。,"The research fields in the geography department at Tel Aviv University include [city, environment and planning](https://en-exact-sciences.tau.ac.il/geography/research_fields_city_environment_planning), [geoinformatics](https://en-exact-sciences.tau.ac.il/geography/research_fields_geoinformatics_remote_sensing), and [climate and water resource](https://en-exact-sciences.tau.ac.il/geography/research_fields_climate_water). The department offers B.A., M.A. and PhD. programs and a special program for outstanding students, which allows them to take an active role in our research laboratories.",地理系,Department of Geography,34.804,32.113
